# 初始種子資料（全部為真實抓取值，2026-08-11 由 Yahoo Finance / 台灣期交所 / 台灣證交所 取得）
# 缺值以空白表示。首次跑 build.py 時會讀進 history.json，之後由每日排程自動延伸。
# date,vix,vvix,pcr_oi,taiex_close,taiex_open,etf_close,etf_open,adv,dec,margin_kntd
2026-05-29,,,,,,,,,,556359646
2026-06-01,,,,,,,,,,565779103
2026-06-02,,,,,,,,5560,7984,
2026-06-05,,,,,,,,,,566649267
2026-06-25,18.89,91.19,114.57,46255.26,46339.68,107.20,108.00,,,
2026-06-26,18.41,89.02,128.74,44571.76,46188.60,103.10,105.40,,,
2026-06-29,17.65,88.71,123.92,44999.90,44594.81,104.45,103.35,,,
2026-06-30,16.45,86.87,134.93,46125.91,45165.80,107.80,106.85,,,611652207
2026-07-01,16.59,89.04,142.03,47018.99,46234.70,109.35,109.80,6328,5846,609502407
2026-07-02,16.15,88.80,120.46,46744.16,46833.89,108.80,107.20,5870,5597,620837289
2026-07-03,,,136.30,46780.62,46545.14,108.35,106.15,6941,4530,630812485
2026-07-06,15.57,87.09,122.22,46556.39,46897.18,108.25,109.05,6218,5491,631344856
2026-07-07,16.13,87.90,98.68,45479.11,46537.34,106.20,108.55,1990,10097,610945256
2026-07-08,16.90,91.38,129.81,45734.41,45524.69,106.05,106.40,3658,7269,613815725
2026-07-09,15.84,88.78,118.81,45354.61,45805.62,105.80,106.35,5597,4719,619648244
2026-07-10,15.03,87.28,,,,105.80,105.80,,,
2026-07-13,17.16,95.28,124.42,45380.52,45500.32,106.00,107.00,3737,7142,618299040
2026-07-14,16.50,93.53,99.31,44737.95,45364.40,104.40,105.50,2032,9235,604034106
2026-07-15,15.67,91.85,103.58,45631.59,44850.69,106.30,105.30,9254,2130,615368175
2026-07-16,16.73,97.31,93.37,45624.98,45511.98,106.40,105.35,4141,7176,615575992
2026-07-17,18.77,104.87,92.94,42671.27,45234.08,100.15,102.90,1227,10309,587962513
2026-07-20,18.65,102.82,82.72,42449.70,42793.15,99.20,100.20,2843,7737,569035788
2026-07-21,17.05,96.34,106.32,44232.87,42566.93,102.50,100.00,8759,1876,576496237
2026-07-22,16.64,95.55,118.24,44825.78,44513.75,103.85,104.50,9565,2452,582823505
2026-07-23,18.70,102.17,119.11,44850.81,44899.04,103.90,104.25,4450,6904,582626351
2026-07-24,18.58,100.73,112.70,43654.84,44769.39,101.70,102.55,3061,7805,577059537
2026-07-27,18.67,100.91,109.84,43634.19,43585.92,101.45,101.30,2859,7257,568663454
2026-07-28,18.21,98.51,89.37,41603.36,43221.93,97.15,98.35,1383,8854,545534811
2026-07-29,20.66,109.47,84.29,40039.18,41491.48,93.70,96.95,2092,8507,507011173
2026-07-30,17.09,94.66,79.43,39933.30,40048.94,93.50,93.40,3536,6546,493867294
2026-07-31,15.99,91.64,107.27,43119.75,41610.41,102.85,100.00,8951,1629,507462771
2026-08-03,15.86,90.81,97.66,43386.41,42780.42,102.00,102.00,7413,3585,514755393
2026-08-04,16.50,92.57,102.56,43360.66,43092.49,100.65,100.65,8193,3799,521134665
2026-08-05,15.81,90.43,111.87,44611.60,43809.83,103.80,103.75,10848,2487,523492321
2026-08-06,15.15,88.72,109.77,44396.70,44487.94,103.30,103.25,6466,6277,532804981
2026-08-07,14.90,90.42,106.42,44225.91,44450.19,102.85,103.80,4547,7085,537664510
2026-08-10,15.46,92.51,117.38,44928.76,44540.71,104.25,103.90,8242,3560,545295561
2026-08-11,15.43,,123.58,45120.72,44883.90,104.60,104.05,,,
